KEY,EN,RU,FR,DE,UK,ZH,JA
Log In!,"Log In!","Войти!","Identifier!","Einloggen!","Увійти!","登錄!","ログイン"
Play!,"Play!","Играть!","Jouer!","Spielen!","Гра!","玩","遊ぶ"
Let`s Play!,"Let`s Play!","Начать игру!","Jouer!","Spielen!","Почати Гру!","玩吧","ゲームをスタート"
Set up players, "Set up players","Настройка игроков","Richten Sie Spieler","Mettre en place les joueurs","Налаштуйте гравців","設置播放器","プレーヤーをカスタマイズ"
Set up,"Set up","Установить","Installer","Set up","Встановити","設定"
Exit Game,"Exit Game","Выйти из игры","Quitter le jeu","Spiel beenden","Вийти з Гри","退出遊戲"
Choose your level!,"Сhoose your level!","Выбери свой уровень!","Choisissez votre niveau de!","Wählen Sie Ihr Niveau der!","Обери свій рівень!","選擇你的水平","ゲームを選択"
Loading, please wait!, "Loading, please wait!","Подождите, идет загрузка!","Chargement, patientez s'il vous plaît!","Lade, bitte warten!","Почекайте, йде загрузка!","加載中，請稍候","読み込んで待って"
Options,"Options","Опции","Les options","Optionen","Опції","選項","オプション"
New Game,"New Game","Новая игра","NouveauJeu","NeuesSpiel","Нова Гра","新遊戲","新しいゲーム"
Settings,"Settings","Настройки","Paramètres","Einstellungen","Налаштування","設置","設定"
Tutorial,"Tutorial","Обучение","Tutoriel","Lernprogramm","Навчання","教程","トレーニング"
High scores,"High scores","Высший балл","Des scores élevés","Hohe Werte","Вищщій бал","高分","最高スコア"
Exit to Menu,"Exit to Menu","Выход в меню","Sortie au menu","Ausgang zum Menü","Вихід до меню","退出菜單","メニューを終了"
Quality Settings,"Quality Settings","Параметры качества","Paramètres de qualité","Qualitätseinstellungen","Налаштування Якості","質量設置","品質パラメータ"
Sound Settings,"Sound Settings","Настройки звука","Réglages du son","Sound-Einstellungen","Налаштування Звуку","聲音設置","サウンド設定"
Interactive Tutorial,"Interactive Tutorial","Интерактивное пособие","Didacticiel interactif","Online-Kursus"," Інтерактівний посібник","互動教程","ライブトレーニング"
Enable Interactive Tutorial?,"Enable Interactive Tutorial?","Включить интерактивное обучение?","Activer Didacticiel interactif","Aktivieren des interaktiven Tutorial","Активувати інтерактівний посібник?","啟用互動教程","ライブトレーニングが含まれる？"
Enabled,"Enabled","Включить","Activé","Aktiviert","Ввімкнути","啟用","含める"
Disabled,"Disabled","Выключить","Handicapés","Behinderte","Вимкнути","已禁用","無効にする"
<< Back,"<< Back","<< Назад","<< Retour","<<Zurück","<<Повернутися","<<返回","<<バック"
Remove,"Remove","Удалить","Supprimer","Entfernen","Видалити","刪除","削除する"
Restore,"Restore","Восстановить","Restaurer","Wiederherstellen","Відновити","還原","復元する"
Quality Now:,"Quality Now:","Качество Сейчас:","Qualité maintenant:","Qualitäts Jetzt:","Якість зараз:","現在質量:","品質になりました"
Increase,"Increase","Увеличение","Augmenter", "Erhöhen","Покращщеня","提高","良い"
Decrease,"Decrease","Уменьшение","Diminuer","Abnahme","Погіршення","减少","もっと悪い"
Music Volume,"Music","Музыка","Musique","Music","Музика","音乐音量","音楽の音量"
FX Volume,"FX Volume"," Эффекты","FX","FX","Єфекти","影响成交量","ボリュームエフェクト"
Voices Volume,"Voices Volume","Голоса","Voix","Voices","Голоси","声音音量","声の音量"
The game is restarted!,"The game is restarted!","Игра будет перевімкнена!","Le jeu est arrêté!","Das Spiel neu gestartet wird!","Гра буде перевімкнена!","本场比赛重新开始","ゲームが再開されます"
Yes!,"Yes!","Да!","Oui!","Ja!","Так!","是!","はい"
No!,"No!","Нет!","Non!","Nein!","Ні!","不","いいえ"
Go To Level Selector?,"Go To Level Selector?","Перейти к выбору уровня?","Aller au sélecteur de niveau?","Machen Sie die Ebenenauswahl?","Перейти до вибору сцени?","转至平选择","レベルを選択"
Local Scores:,"Local Scores:","Местные результаты:","Les évaluations locales:","Lokale Ergebnisse:","Локальні Результати:","本地比分",""
Reset Now?,"Reset Now?","Обнулить?","Supprimer","Entfernen","立即重置?","リセット?"
Local Scores will be Deleted!,"Local Scores will be Deleted!","Результаты будут удалены!","Les évaluations locales seront supprimés!","Lokale Ergebnisse werden gelöscht!","Результаті будуть видалені!"
